# Start of Music
bpm 60

num_parts 13

part
num_notes 1319
146.80 f5 0.20
147.06 f5 0.19
147.06 d5 0.20
147.06 a4 0.21
147.06 d4 0.21
147.06 d3 0.25
147.55 f4 0.20
147.54 c4 0.21
147.54 d5 0.22
147.55 c3 0.22
147.79 c5 0.20
148.04 f4 0.20
148.04 d5 0.20
148.04 a#4 0.21
148.05 a#2 0.21
148.05 a#3 0.23
148.29 f5 0.22
148.54 f4 0.20
148.55 f3 0.19
148.55 f5 0.20
148.54 a#4 0.21
148.80 e5 0.33
149.04 a4 0.20
149.04 c#5 0.22
149.05 a2 0.22
149.05 a3 0.23
149.30 a4 0.20
149.30 e5 0.20
149.29 c#5 0.23
149.56 f#5 0.18
149.54 e4 0.19
149.55 e3 0.19
150.30 d4 0.24
150.05 d3 0.77
150.56 f#4 0.32
150.79 d4 0.19
149.80 f#5 1.45
151.31 f#3 0.21
151.05 b2 0.58
151.55 a5 0.20
151.55 b3 0.31
151.80 a5 0.12
151.80 f#3 0.19
151.93 b5 0.36
152.05 d5 0.28
152.30 a5 0.21
152.31 a3 0.22
152.05 d3 0.49
152.55 f#5 0.20
152.55 d4 0.23
152.80 a3 0.19
152.79 d5 0.26
153.06 b2 0.43
153.30 g4 0.20
153.31 e5 0.19
153.30 f#3 0.23
153.55 a4 0.19
153.55 f#5 0.19
153.55 b3 0.44
153.81 f#3 0.18
153.81 a4 0.31
154.30 a3 0.22
154.05 d3 0.54
154.55 d4 0.24
154.80 a3 0.17
154.56 f#4 0.52
153.81 f#5 1.31
155.30 a5 0.20
155.30 f#3 0.22
155.05 b2 0.48
155.55 a5 0.19
155.55 b3 0.32
155.79 f#3 0.19
155.80 a5 0.20
156.06 d5 0.26
156.05 b5 0.28
156.29 a5 0.22
156.30 a3 0.22
156.05 d3 0.47
156.55 f#5 0.20
156.54 d4 0.24
156.80 a3 0.19
156.79 d5 0.26
157.29 g4 0.20
157.30 e5 0.20
157.29 f#3 0.23
157.05 b2 0.50
157.55 a4 0.19
157.55 f#5 0.20
157.54 b3 0.44
157.80 f#3 0.19
157.80 a4 0.53
158.05 d3 0.33
158.30 a3 0.21
158.56 a4 0.21
158.55 d4 0.24
158.56 d5 0.26
158.81 a3 0.18
157.80 f#5 1.19
159.06 b2 0.42
159.30 a5 0.20
159.30 f#3 0.23
159.56 a5 0.18
159.55 b3 0.33
159.80 f#3 0.19
159.81 a5 0.18
160.06 d5 0.26
160.05 b5 0.29
160.05 d3 0.42
160.29 a5 0.22
160.30 a3 0.21
160.55 f#5 0.20
160.55 d4 0.25
160.80 a3 0.18
160.79 d5 0.28
161.06 b2 0.41
161.29 g4 0.20
161.30 e5 0.21
161.29 f#3 0.24
161.55 a4 0.19
161.55 f#5 0.19
161.80 f#3 0.19
161.54 b3 0.48
161.80 a4 0.54
162.05 d3 0.47
162.30 a3 0.23
